Prefetcher,Benchmark,IPC,L2C Miss Latency,L2C Misses,Prefetch Requested,Prefetch Issued,Prefetch Useful
ghb_stride,perlbench,1.276,141.0,190799,82504,82491,4813
ghb_stride,gcc,0.7616,178.2,5196838,3214628,3214628,2025312
ghb_stride,bwaves,1.981,226.0,113508,41672,41672,7965
ghb_stride,mcf,0.477,63.87,12930050,9821416,9821416,2884655
ghb_stride,cactuBSSN,1.08,144.2,6601109,331756,331756,0
ghb_stride,lbm,0.4653,601.2,24761060,5636540,5636540,994950
ghb_stride,omnetpp,0.3738,157.1,8154744,294452,294452,20122
ghb_stride,wrf,1.245,211.0,849036,1618764,1618759,99863
ghb_stride,xalancbmk,1.099,104.9,1927315,5000228,4998242,65497
ghb_stride,x264,1.823,206.5,1141936,1140976,1140858,140915
ghb_stride,cam4,1.222,938.7,2972525,1660576,1660202,58548
ghb_stride,pop2,1.663,192.0,5454601,10736284,10736039,1453958
ghb_stride,deepsjeng,1.154,155.6,271169,814344,814344,62
ghb_stride,imagick,3.293,16.24,248584,12495372,12495372,56513
ghb_stride,leela,1.17,202.1,130552,280920,280920,27650
ghb_stride,nab,1.034,142.5,139593,2597168,2597168,70079
ghb_stride,exchange2,1.701,168.8,179,304,304,0
ghb_stride,fotonik3d,0.8694,188.5,8193219,16256980,16256980,3412563
ghb_stride,roms,1.643,269.1,970944,1169676,1169676,254887
ghb_stride,xz,1.423,179.5,1280660,435980,431318,79994
ghb_stride_fdp,perlbench,1.274,141.9,187742,41314,41314,1802
ghb_stride_fdp,gcc,0.6288,153.2,5204643,1631128,1631128,598235
ghb_stride_fdp,bwaves,1.971,209.5,117423,21050,21050,1038
ghb_stride_fdp,mcf,0.4305,77.38,12416569,4914644,4914644,1775753
ghb_stride_fdp,cactuBSSN,1.08,144.6,6548681,166746,166746,0
ghb_stride_fdp,lbm,0.4593,579.6,24547196,2724646,2724646,162
ghb_stride_fdp,omnetpp,0.3731,157.1,8121526,147108,147108,4438
ghb_stride_fdp,wrf,1.236,200.8,802982,801358,801358,65636
ghb_stride_fdp,xalancbmk,1.095,102.9,2100254,2498092,2498092,51696
ghb_stride_fdp,x264,1.804,210.2,977541,575328,575328,84140
ghb_stride_fdp,cam4,1.222,930.5,2931526,830346,830338,30601
ghb_stride_fdp,pop2,1.475,165.1,4940756,5380640,5380640,888708
ghb_stride_fdp,deepsjeng,1.154,155.5,271136,407170,407170,15
ghb_stride_fdp,imagick,3.256,16.13,485671,6179246,6179246,28414
ghb_stride_fdp,leela,1.166,200.7,109907,140772,140772,20475
ghb_stride_fdp,nab,1.027,148.6,170447,1297302,1297302,39215
ghb_stride_fdp,exchange2,1.701,164.8,173,152,152,0
ghb_stride_fdp,fotonik3d,0.6141,191.5,7720878,9612740,9612740,2363525
ghb_stride_fdp,roms,1.575,253.5,744102,584694,584694,174601
ghb_stride_fdp,xz,1.418,182.0,1187721,219148,219148,45493
ip_stride,perlbench,1.277,141.3,182480,31800,31800,7270
ip_stride,gcc,0.7437,168.7,4574053,2307513,2307513,1878331
ip_stride,bwaves,1.985,232.4,105458,26738,26738,10869
ip_stride,mcf,0.4787,63.48,11596910,6841877,6841877,2759024
ip_stride,cactuBSSN,1.095,130.6,6467404,5164054,5164054,941537
ip_stride,lbm,0.4794,604.6,22942591,3398533,3398533,1781341
ip_stride,omnetpp,0.3757,157.2,8062375,209723,209723,60392
ip_stride,wrf,1.248,223.7,667574,1090432,1090432,111988
ip_stride,xalancbmk,1.101,104.4,1793022,3217211,3217211,66560
ip_stride,x264,1.85,201.4,881948,480119,480119,160308
ip_stride,cam4,1.232,955.5,2775988,1046404,1046404,61323
ip_stride,pop2,1.672,196.2,4655267,7426034,7426034,1598120
ip_stride,deepsjeng,1.153,155.8,271055,1617,1617,125
ip_stride,imagick,3.313,81.7,23380,8778148,8778148,19991
ip_stride,leela,1.171,188.9,117076,200979,200979,29547
ip_stride,nab,1.038,138.3,109722,1867486,1867486,83759
ip_stride,exchange2,1.701,167.4,157,0,0,0
ip_stride,fotonik3d,0.9428,153.3,7768367,12537482,12537482,3793683
ip_stride,roms,1.653,225.4,862291,846881,846881,284699
ip_stride,xz,1.427,170.5,1196004,280862,280862,89851
