Prefetcher,Benchmark,IPC,L2C Miss Latency,L2C Misses,Prefetch Requested,Prefetch Issued,Prefetch Useful
.,Unknown Benchmark,,,,,,
ghb_stride,perlbench,1.276,141.2,192929.0,132776.0,132634.0,5202.0
ghb_stride,gcc,0.8402,173.4,4861220.0,3205244.0,3205244.0,2397485.0
ghb_stride,bwaves,1.987,239.7,109659.0,43420.0,43420.0,12012.0
ghb_stride,mcf,0.4897,59.9,12566719.0,9066036.0,9066036.0,3002514.0
ghb_stride,cactuBSSN,1.079,145.1,6980613.0,5197552.0,5197496.0,38.0
ghb_stride,lbm,0.4753,615.0,24148617.0,6278856.0,6278856.0,1942034.0
ghb_stride,omnetpp,0.3747,157.2,8364576.0,533968.0,533968.0,38533.0
ghb_stride,wrf,1.248,222.8,792777.0,1692560.0,1691690.0,114878.0
ghb_stride,xalancbmk,1.101,103.2,1889899.0,4824336.0,4822203.0,70009.0
ghb_stride,x264,1.834,200.7,1166694.0,1204608.0,1202414.0,163133.0
ghb_stride,cam4,1.224,943.1,2942290.0,1662440.0,1662088.0,68248.0
ghb_stride,pop2,1.701,197.5,5317828.0,10672004.0,10671641.0,1628986.0
ghb_stride,deepsjeng,1.153,155.7,273481.0,923388.0,923388.0,109.0
ghb_stride,imagick,3.308,18.95,88804.0,12559500.0,12559500.0,36150.0
ghb_stride,leela,1.171,194.4,127758.0,285364.0,285363.0,30175.0
ghb_stride,nab,1.037,136.5,120867.0,2631432.0,2631432.0,81948.0
ghb_stride,exchange2,1.701,169.5,314.0,1356.0,1352.0,6.0
ghb_stride,fotonik3d,0.9645,167.5,8494384.0,15653396.0,15653396.0,3918360.0
ghb_stride,roms,1.66,236.3,981457.0,1169720.0,1169720.0,284714.0
ghb_stride,xz,1.425,174.4,1287295.0,434320.0,431492.0,90410.0
ghb_stride_fdp,perlbench,1.277,140.9,198348.0,3304195.0,3289593.0,8934.0
ghb_stride_fdp,gcc,0.8407,173.5,4859629.0,3275341.0,3275341.0,2400435.0
ghb_stride_fdp,bwaves,1.987,237.7,108658.0,33613.0,33613.0,11797.0
ghb_stride_fdp,mcf,0.4895,60.75,12358391.0,9105385.0,9105385.0,3095044.0
ghb_stride_fdp,cactuBSSN,1.097,128.4,8934742.0,129925717.0,129879991.0,1056362.0
ghb_stride_fdp,lbm,0.4764,609.4,23621070.0,4363057.0,4363057.0,1797467.0
ghb_stride_fdp,omnetpp,0.3756,157.2,8198177.0,1142226.0,1142226.0,60857.0
ghb_stride_fdp,wrf,1.25,232.6,824165.0,4295905.0,4262183.0,118239.0
ghb_stride_fdp,xalancbmk,1.101,103.5,2028507.0,10617174.0,10615009.0,73216.0
ghb_stride_fdp,x264,1.848,205.3,1020399.0,8049025.0,7849651.0,161725.0
ghb_stride_fdp,cam4,1.225,948.8,2896412.0,2204255.0,2203927.0,67419.0
ghb_stride_fdp,pop2,1.702,197.4,5351588.0,10875625.0,10875098.0,1629831.0
ghb_stride_fdp,deepsjeng,1.154,155.7,274947.0,1892254.0,1892254.0,148.0
ghb_stride_fdp,imagick,3.308,18.99,89929.0,12609195.0,12609195.0,36144.0
ghb_stride_fdp,leela,1.171,194.4,127584.0,444721.0,444721.0,30216.0
ghb_stride_fdp,nab,1.038,133.1,120454.0,2654196.0,2654196.0,84073.0
ghb_stride_fdp,exchange2,1.701,167.4,157.0,15000.0,14972.0,0.0
ghb_stride_fdp,fotonik3d,0.9651,167.3,8518458.0,15745551.0,15745551.0,3917182.0
ghb_stride_fdp,roms,1.66,236.3,981515.0,1170180.0,1170180.0,284714.0
ghb_stride_fdp,xz,1.425,174.6,1293091.0,463061.0,460194.0,93538.0
ip_stride,perlbench,1.277,141.3,182480.0,31800.0,31800.0,7270.0
ip_stride,gcc,0.7437,168.7,4574053.0,2307513.0,2307513.0,1878331.0
ip_stride,bwaves,1.985,232.4,105458.0,26738.0,26738.0,10869.0
ip_stride,mcf,0.4787,63.48,11596910.0,6841877.0,6841877.0,2759024.0
ip_stride,cactuBSSN,1.095,130.6,6467404.0,5164054.0,5164054.0,941537.0
ip_stride,lbm,0.4794,604.6,22942591.0,3398533.0,3398533.0,1781341.0
ip_stride,omnetpp,0.3757,157.2,8062375.0,209723.0,209723.0,60392.0
ip_stride,wrf,1.248,223.7,667574.0,1090432.0,1090432.0,111988.0
ip_stride,xalancbmk,1.101,104.4,1793022.0,3217211.0,3217211.0,66560.0
ip_stride,x264,1.85,201.4,881948.0,480119.0,480119.0,160308.0
ip_stride,cam4,1.232,955.5,2775988.0,1046404.0,1046404.0,61323.0
ip_stride,pop2,1.672,196.2,4655267.0,7426034.0,7426034.0,1598120.0
ip_stride,deepsjeng,1.153,155.8,271055.0,1617.0,1617.0,125.0
ip_stride,imagick,3.313,81.7,23380.0,8778148.0,8778148.0,19991.0
ip_stride,leela,1.171,188.9,117076.0,200979.0,200979.0,29547.0
ip_stride,nab,1.038,138.3,109722.0,1867486.0,1867486.0,83759.0
ip_stride,exchange2,1.701,167.4,157.0,0.0,0.0,0.0
ip_stride,fotonik3d,0.9428,153.3,7768367.0,12537482.0,12537482.0,3793683.0
ip_stride,roms,1.653,225.4,862291.0,846881.0,846881.0,284699.0
